Iteration, Residual
0, 6.08255
1, 4.42055
2, 3.06644
3, 2.10709
4, 1.50066
5, 1.085
6, 0.768305
7, 0.539639
8, 0.389895
9, 0.287762
10, 0.207969
11, 0.145806
12, 0.102987
13, 0.0749304
14, 0.0546594
15, 0.0394475
16, 0.0286311
17, 0.0208759
18, 0.015082
19, 0.0108561
20, 0.00784445
21, 0.00569411
22, 0.00418692
23, 0.00308808
24, 0.00223128
25, 0.00161038
26, 0.00119796
27, 0.000886765
28, 0.000633566
29, 0.000455665
30, 0.000337105
31, 0.000245424
32, 0.000177246
33, 0.000132626
34, 9.86171E-05
35, 7.01938E-05
36, 5.10057E-05
37, 3.89463E-05
38, 2.8816E-05
39, 2.03904E-05
40, 1.49659E-05
41, 1.13919E-05
42, 8.33352E-06
43, 5.9356E-06
44, 4.41807E-06
45, 3.36269E-06
46, 2.46029E-06
47, 1.7683E-06
48, 1.32138E-06
49, 9.9868E-07
