Iteration Residual
0 1.95152
1 0.810875
2 0.455012
3 0.28796
4 0.191513
5 0.130558
6 0.0902619
7 0.0629274
8 0.0440986
9 0.0310058
10 0.0218474
11 0.0154167
12 0.0108897
13 0.00769742
14 0.00544371
15 0.00385129
16 0.00272544
17 0.00192911
18 0.00136568
19 0.000966937
20 0.000684685
21 0.000484864
22 0.000343383
23 0.0002432
24 0.000172254
25 0.00012201
26 8.64243e-05
27 6.12198e-05
28 4.33671e-05
29 3.07214e-05
30 2.17636e-05
31 1.54181e-05
32 1.09229e-05
33 7.73848e-06
34 5.4825e-06
35 3.88426e-06
36 2.75197e-06
37 1.94977e-06
38 1.38143e-06
39 9.78769e-07
